  -149.000000       0.00000000    
  -147.000000       0.00000000    
  -145.000000       9.99999997E-07
  -143.000000       9.99999997E-07
  -141.000000       3.00000011E-06
  -139.000000       3.99999999E-06
  -137.000000       1.99999999E-06
  -135.000000       3.99999999E-06
  -133.000000       3.00000011E-06
  -131.000000       6.00000021E-06
  -129.000000       6.00000021E-06
  -127.000000       3.00000011E-06
  -125.000000       1.20000004E-05
  -123.000000       7.99999998E-06
  -121.000000       7.00000010E-06
  -119.000000       1.80000006E-05
  -117.000000       2.90000007E-05
  -115.000000       2.70000000E-05
  -113.000000       2.90000007E-05
  -111.000000       6.09999988E-05
  -109.000000       7.40000032E-05
  -107.000000       6.50000002E-05
  -105.000000       9.00000014E-05
  -103.000000       1.03999999E-04
  -101.000000       1.49000000E-04
  -99.0000000       1.90999999E-04
  -97.0000000       1.72999993E-04
  -95.0000000       2.22000002E-04
  -93.0000000       3.21000000E-04
  -91.0000000       3.76000011E-04
  -89.0000000       4.76999994E-04
  -87.0000000       5.31000027E-04
  -85.0000000       6.30000024E-04
  -83.0000000       7.16999988E-04
  -81.0000000       8.95000005E-04
  -79.0000000       1.02700002E-03
  -77.0000000       1.21999998E-03
  -75.0000000       1.39400002E-03
  -73.0000000       1.64999999E-03
  -71.0000000       1.82799995E-03
  -69.0000000       2.16599996E-03
  -67.0000000       2.48300005E-03
  -65.0000000       2.81600002E-03
  -63.0000000       3.21400003E-03
  -61.0000000       3.71200009E-03
  -59.0000000       4.18600021E-03
  -57.0000000       4.69500013E-03
  -55.0000000       5.18599991E-03
  -53.0000000       5.96000021E-03
  -51.0000000       6.46399986E-03
  -49.0000000       7.27399997E-03
  -47.0000000       8.00899975E-03
  -45.0000000       8.76799971E-03
  -43.0000000       9.47299972E-03
  -41.0000000       1.04149999E-02
  -39.0000000       1.14540001E-02
  -37.0000000       1.22010000E-02
  -35.0000000       1.32040000E-02
  -33.0000000       1.40939998E-02
  -31.0000000       1.51180001E-02
  -29.0000000       1.61130000E-02
  -27.0000000       1.70649998E-02
  -25.0000000       1.78929996E-02
  -23.0000000       1.91350002E-02
  -21.0000000       1.97710004E-02
  -19.0000000       2.08889991E-02
  -17.0000000       2.15850007E-02
  -15.0000000       2.22120006E-02
  -13.0000000       2.29610000E-02
  -11.0000000       2.33849995E-02
  -9.00000000       2.38589998E-02
  -7.00000000       2.43839994E-02
  -5.00000000       2.47729998E-02
  -3.00000000       2.46910006E-02
  -1.00000000       2.53240000E-02
   1.00000000       2.51439996E-02
   3.00000000       2.52599996E-02
   5.00000000       2.51659993E-02
   7.00000000       2.49780007E-02
   9.00000000       2.42909994E-02
   11.0000000       2.38840003E-02
   13.0000000       2.36099996E-02
   15.0000000       2.27959994E-02
   17.0000000       2.22520009E-02
   19.0000000       2.12399997E-02
   21.0000000       2.06870008E-02
   23.0000000       1.98529996E-02
   25.0000000       1.89280007E-02
   27.0000000       1.82360001E-02
   29.0000000       1.70729998E-02
   31.0000000       1.60579998E-02
   33.0000000       1.49379997E-02
   35.0000000       1.41439997E-02
   37.0000000       1.33109996E-02
   39.0000000       1.22269997E-02
   41.0000000       1.14099998E-02
   43.0000000       1.04320003E-02
   45.0000000       9.48700029E-03
   47.0000000       8.71399976E-03
   49.0000000       8.00999999E-03
   51.0000000       7.14500016E-03
   53.0000000       6.57900004E-03
   55.0000000       5.88000007E-03
   57.0000000       5.08800009E-03
   59.0000000       4.76900022E-03
   61.0000000       4.28899983E-03
   63.0000000       3.71500012E-03
   65.0000000       3.28100007E-03
   67.0000000       2.83899996E-03
   69.0000000       2.48400006E-03
   71.0000000       2.17100000E-03
   73.0000000       1.85500004E-03
   75.0000000       1.66800001E-03
   77.0000000       1.36999995E-03
   79.0000000       1.22400001E-03
   81.0000000       1.02600001E-03
   83.0000000       8.68999981E-04
   85.0000000       7.76999979E-04
   87.0000000       6.27000001E-04
   89.0000000       4.86000004E-04
   91.0000000       4.14000009E-04
   93.0000000       3.72000010E-04
   95.0000000       3.02000000E-04
   97.0000000       2.68000003E-04
   99.0000000       2.14999993E-04
   101.000000       1.74999994E-04
   103.000000       1.50000007E-04
   105.000000       1.09000001E-04
   107.000000       9.40000027E-05
   109.000000       7.50000036E-05
   111.000000       4.80000017E-05
   113.000000       4.09999993E-05
   115.000000       3.30000003E-05
   117.000000       2.99999992E-05
   119.000000       2.59999997E-05
   121.000000       2.30000005E-05
   123.000000       1.49999996E-05
   125.000000       1.29999999E-05
   127.000000       1.20000004E-05
   129.000000       7.00000010E-06
   131.000000       4.99999987E-06
   133.000000       9.99999997E-07
   135.000000       1.99999999E-06
   137.000000       1.99999999E-06
   139.000000       1.99999999E-06
   141.000000       1.99999999E-06
   143.000000       0.00000000    
   145.000000       9.99999997E-07
   147.000000       1.99999999E-06
   149.000000       0.00000000    
   151.000000       0.00000000    
